AERONET_Database_Site_List,Num=0,Date_Generated=17:07:2016,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Alta_Floresta,-56.104453,-9.871339,277.000000,1,1,1,1,1,1,1,0,0,0,0,0
Tucson,-110.953003,32.233002,779.000000,1,1,1,1,1,1,1,0,0,0,0,0
GSFC,-76.839833,38.992500,87.000000,1,1,1,1,1,1,1,0,0,0,0,0
Wallops,-75.474998,37.941666,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ussuriysk,132.163500,43.700400,280.000000,0,0,1,1,1,1,1,0,0,0,0,0
Waskesiu,-106.083000,53.916698,550.000000,1,0,0,0,0,1,0,0,0,0,0,0
Key_Biscayne,-80.163330,25.731966,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Sevilleta,-106.885002,34.354721,1477.000000,1,1,1,1,1,1,1,0,0,0,0,0
Cart_Site,-97.486390,36.606670,318.000000,1,1,1,1,0,1,1,0,0,0,0,0
Bonanza_Creek,-148.316269,64.742805,150.000000,0,0,1,1,1,1,1,0,0,0,0,0
Mauna_Loa,-155.578003,19.539000,3397.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ji_Parana,-61.799999,-10.860000,100.000000,1,1,1,0,0,0,0,0,0,0,0,0
Lille,3.141667,50.611667,60.000000,1,1,1,1,1,1,1,0,0,0,0,0
Missoula,-114.083336,46.916668,1028.000000,1,1,1,1,1,1,1,0,0,0,0,0
Capo_Verde,-22.935499,16.732500,60.000000,1,1,1,1,1,1,1,0,0,0,0,0
UCSB,-119.845360,34.415428,33.000000,1,1,1,1,0,0,0,0,0,0,0,0
SERC,-76.500000,38.883335,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Barcelona,2.116970,41.385670,125.000000,1,1,1,1,1,1,1,0,0,0,0,0
SEDE_BOKER,34.782222,30.855000,480.000000,1,1,1,1,1,1,1,0,0,0,0,0
Trinidad_Head,-124.151017,41.053917,105.000000,1,1,1,1,1,1,1,0,0,0,0,0
CARTEL,-71.931333,45.379333,300.000000,1,1,1,1,1,1,1,0,0,0,0,0
Toronto,-79.470000,43.780000,300.000000,1,1,1,1,1,1,1,0,0,0,0,0
Banizoumbou,2.664750,13.541167,250.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ascension_Island,-14.414722,-7.976389,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
Barrow,-156.665000,71.312200,0.000000,0,0,0,0,1,0,0,0,0,0,0,0
REUNION_ST_DENIS,55.483333,-20.883333,0.000000,0,0,0,1,1,1,1,0,0,0,0,0
Rame_Head,-4.149500,50.366000,0.000000,0,0,0,1,1,1,1,0,0,0,0,0
Dakar,-16.958611,14.394167,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Guadeloup,-61.500000,16.333333,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
BONDVILLE,-88.371944,40.053333,212.000000,1,1,1,1,1,1,1,0,0,0,0,0
MISR-JPL,-118.174390,34.199000,367.000000,0,0,0,0,0,1,0,0,0,0,0,0
Dalanzadgad,104.419167,43.577222,1470.000000,0,0,0,0,0,1,1,0,0,0,0,0
Venise,12.508300,45.313900,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Xanthi,24.918950,41.146767,54.000000,0,1,1,1,1,1,1,0,0,0,0,0
Izana,-16.499060,28.309320,2391.000000,1,1,1,1,1,1,1,0,0,0,0,0
Teide,-16.642800,28.272500,3570.000000,0,0,0,0,1,1,1,0,0,0,0,0
Sioux_Falls,-96.625983,43.736283,500.000000,1,1,1,1,1,1,1,0,0,0,0,0
Egbert,-79.750000,44.225667,264.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ispra,8.626700,45.803050,235.000000,1,1,1,1,1,1,1,0,0,0,0,0
Mainz,8.300000,49.999000,150.000000,1,1,1,1,1,1,1,0,0,0,0,0
Saturn_Island,-123.133000,48.783000,200.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ilorin,4.340000,8.320000,350.000000,1,1,1,1,1,1,1,0,0,0,0,0
Dongsha_Island,116.728833,20.698556,5.000000,0,1,1,1,0,0,0,0,0,0,0,0
Arica,-70.313333,-18.471667,25.000000,1,1,1,1,1,1,1,0,0,0,0,0
MCO-Hanimaadhoo,73.183183,6.776350,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
NASA_LaRC,-76.378640,37.104960,5.000000,1,1,1,1,1,1,1,0,0,0,0,0
Pickle_Lake,-90.217500,51.449444,393.000000,1,1,1,1,1,1,1,0,0,0,0,0
IMAA_Potenza,15.720000,40.600000,820.000000,1,1,1,1,1,1,1,0,0,0,0,0
Skukuza,31.587500,-24.991700,150.000000,0,0,0,1,1,1,1,0,0,0,0,0
Table_Mountain,-105.237000,40.125000,1689.000000,1,1,1,1,1,1,0,0,0,0,0,0
TABLE_MOUNTAIN_CA,-117.680000,34.380000,2200.000000,1,1,1,1,1,1,1,0,0,0,0,0
Mexico_City,-99.181667,19.333611,2268.000000,1,1,1,1,1,1,1,0,0,0,0,0
Rimrock,-116.991667,46.487500,824.000000,1,1,1,1,1,1,1,0,0,0,0,0
Clermont_Ferrand,2.961944,45.760000,1464.000000,1,0,1,1,1,1,1,0,0,0,0,0
Palaiseau,2.208333,48.700000,156.000000,1,1,1,1,1,1,1,0,0,0,0,0
Paris,2.333333,48.866667,50.000000,1,1,1,1,1,1,1,0,0,0,0,0
Moldova,28.815600,47.000100,205.000000,1,1,1,1,1,1,1,0,0,0,0,0
MD_Science_Center,-76.616667,39.283333,15.000000,1,1,1,1,1,1,1,0,0,0,0,0
CEILAP-BA,-58.500000,-34.566667,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Anmyon,126.330194,36.538537,47.000000,1,0,0,1,1,1,1,0,0,0,0,0
IMS-METU-ERDEMLI,34.255000,36.565000,3.000000,1,1,1,1,1,1,1,0,0,0,0,0
El_Arenosillo,-6.733472,37.105000,0.000000,0,0,0,0,1,1,1,0,0,0,0,0
Kyiv,30.496667,50.363611,200.000000,1,1,1,1,1,1,1,0,0,0,0,0
Churchill,-93.818167,58.736000,10.000000,1,0,1,1,1,1,1,0,0,0,0,0
Hamburg,9.973333,53.568333,105.000000,1,1,1,1,1,1,1,0,0,0,0,0
Modena,10.945278,44.631667,56.000000,1,1,1,1,1,1,0,0,0,0,0,0
La_Parguera,-67.045383,17.970450,12.400000,1,1,1,1,1,1,1,0,0,0,0,0
Rio_Branco,-67.869350,-9.957467,212.000000,1,1,1,1,1,1,1,0,0,0,0,0
Lampedusa,12.631667,35.516667,45.000000,1,1,1,1,0,0,0,0,0,0,0,0
Osaka,135.590633,34.650933,50.000000,1,1,1,1,1,1,1,0,0,0,0,0
Shirahama,135.356917,33.693450,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
BSRN_BAO_Boulder,-105.006033,40.045183,1604.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kanpur,80.231639,26.512778,123.000000,1,1,1,1,1,1,1,0,0,0,0,0
Billerica,-71.268619,42.528347,82.000000,0,1,1,1,1,1,1,0,0,0,0,0
Moscow_MSU_MO,37.510000,55.700000,192.000000,1,1,1,1,1,1,1,0,0,0,0,0
Minsk,27.601000,53.920000,200.000000,0,0,1,1,1,1,1,0,0,0,0,0
Beijing,116.381370,39.976890,92.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kuopio,27.633606,62.892414,105.000000,0,0,0,1,1,1,1,0,0,0,0,0
Sao_Paulo,-46.734983,-23.561500,865.000000,1,1,1,1,1,1,1,0,0,0,0,0
Seoul_SNU,126.951111,37.458056,116.000000,1,1,1,1,1,1,1,0,0,0,0,0
Rome_Tor_Vergata,12.647333,41.839550,130.000000,1,1,1,1,1,1,1,0,0,0,0,0
Gosan_SNU,126.161667,33.292222,72.000000,1,1,1,1,1,1,1,0,0,0,0,0
CUIABA-MIRANDA,-56.020800,-15.729500,210.000000,0,1,1,1,1,1,1,0,0,0,0,0
XiangHe,116.961500,39.753600,36.000000,1,1,1,1,1,1,1,0,0,0,0,0
Noto,137.136944,37.334444,200.000000,0,0,1,1,1,1,1,0,0,0,0,0
Leipzig,12.435278,51.352500,125.000000,1,1,1,1,1,1,1,0,0,0,0,0
